Time  RFP	GFP
0	0.18970556	1.2162537053
1	0.1979812367	1.1217884514
2	0.378252293	1.3394354787
3	1.5564039033	0
4	21.8231332302	0
5	72.2314454317	124.3704473972
6	174.0785696507	330.3925590515
7	234.5414876938	438.6849651337
