Time  RFP	GFP
0	7.965334326	0.1060893591
1	7.8230666816	0.0913422591
2	8.3422638178	0.0904672897
3	16.4006841779	5.5536335781
4	59.9372022152	44.0342573524
5	188.7098815441	2.5033553392
6	511.6963853836	7.4097047001
7	671.7642440796	12.1769059747
