Time  Lysing 	Non-lysing
0	6.8110828251	0.1253889224
1	25.4375164211	0.3163286946
2	180.4745767117	2.0234002694
3	304.449713707	1.020858407
4	656.5585165024	11.5644056201
5	662.4838256836	63.6395032406
6	1234.1861667633	149.5258436203
7	1582.2470436096	187.8825399876
8	1536.3266429901	234.4193716049
9	1259.3276252747	299.8751115799
